"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","543","Deve carregar o sistema de homologação.","","2026-05-11","passed","2026-05-11","","Smoke Test - SG Agenda","",""
"","15663","Deve abrir cadastro de agendamento sem tela cortada em mobile.","Agenda Crítica - Quebra visual","2026-05-11","passed","2026-05-11","","Mobile iPhone X","",""
"","21394","Deve criar agendamento pela tela e validar resposta da API com ID.","","2026-05-11","passed","2026-05-11","","Agenda Crítica - Validação API criação de agendamento","",""
"","1866","Deve mostrar erro ao tentar login inválido.","","2026-05-11","passed","2026-05-11","","SG Agenda Admin - Login","",""
"","11890","Deve alternar DIA, SEMANA e MÊS mesmo com rede lenta.","","2026-05-11","passed","2026-05-11","","Agenda Crítica - Rede lenta","",""
"","9453","Deve tentar fazer login e mostrar a tela após o clique.","","2026-05-11","passed","2026-05-11","","Debug Login","",""
"","6917","Deve navegar para Dashboard.","","2026-05-11","passed","2026-05-11","","Navegação e URLs","",""
"","90814","deve abrir vários detalhes em sequência sem travar ou misturar dados","","2026-05-11","passed","2026-05-11","","Agenda Crítica - Múltiplos detalhes","",""
"","17478","Deve abrir detalhes de agendamentos em sequência sem misturar dados ou travar.","","2026-05-11","passed","2026-05-11","","Agenda Crítica - Stress de navegação","",""
"","14064","Deve abrir cadastro de agendamento sem quebrar visualmente em desktop.","Agenda Crítica - Quebra visual","2026-05-11","passed","2026-05-11","","Desktop 1366x768","",""
"","6488","Deve navegar para Categorias.","","2026-05-11","passed","2026-05-11","","Navegação e URLs","",""
"","14632","Deve suportar scroll extremo na agenda sem quebrar layout.","","2026-05-11","passed","2026-05-11","","Agenda Crítica - Stress de navegação","",""
"","10608","Deve iniciar reconexão do WhatsApp quando estiver desconectado.","","2026-05-11","passed","2026-05-11","","WhatsApp - Teste de conexão","",""
"","14721","Deve manter a Agenda usável em dimensão tablet.","Agenda Crítica - Quebra visual","2026-05-11","passed","2026-05-11","","Tablet 768x869","",""
"","6916","Deve abrir a agenda mesmo com rede lenta.","","2026-05-11","passed","2026-05-11","","Agenda Crítica - Rede lenta","",""
"","26204","Não deve criar agendamento duplicado ao clicar duas vezes em Gravar.","","2026-05-11","passed","2026-05-11","","Agenda Crítica - Concorrência por duplo clique no Gravar","",""
"","16915","Deve manter a Agenda usável em mobile.","Agenda Crítica - Quebra visual","2026-05-11","passed","2026-05-11","","Mobile iPhone X","",""
"","37880","Não deve permitir dois agendamentos no mesmo horário para o mesmo atendente","","2026-05-11","passed","2026-05-11","","Agenda Crítica - Conflito de horário","",""
"","63549","Deve navegar dias para frente e para trás sem quebrar.","","2026-05-11","passed","2026-05-11","","Agenda Crítica - Stress de navegação","",""
"","6550","Deve navegar para Clientes.","","2026-05-11","passed","2026-05-11","","Navegação e URLs","",""
"","6776","Deve navegar para Planos.","","2026-05-11","passed","2026-05-11","","Navegação e URLs","",""
"","21415","Deve alternar modos da Agenda sem quebra visual em tablet.","Agenda Crítica - Quebra visual","2026-05-11","passed","2026-05-11","","Tablet 768x869","",""
"","287","Deve abrir a página inicial do sistema.","","2026-05-11","passed","2026-05-11","","SG Agenda Admin - Login","",""
"","6567","Deve navegar para Serviços.","","2026-05-11","passed","2026-05-11","","Navegação e URLs","",""
"","7213","Deve abrir cadastro de agendamento mesmo com rede lenta.","","2026-05-11","passed","2026-05-11","","Agenda Crítica - Rede lenta","",""
"","15478","Deve manter a tela principal da Agenda usável em desktop.","Agenda Crítica - Quebra visual","2026-05-11","passed","2026-05-11","","Desktop 1366x768","",""
"","6647","Deve navegar para Produtos.","","2026-05-11","passed","2026-05-11","","Navegação e URLs","",""
"","6469","Deve navegar para Configurações.","","2026-05-11","passed","2026-05-11","","Navegação e URLs","",""
"","6610","Deve navegar para Agenda.","","2026-05-11","passed","2026-05-11","","Navegação e URLs","",""
"","8133","Deve exibir o status atual da conexão do WhatsApp.","","2026-05-11","passed","2026-05-11","","WhatsApp - Teste de conexão","",""
"","6511","Deve navegar para Comissões.","","2026-05-11","passed","2026-05-11","","Navegação e URLs","",""
"","6524","Deve navegar para Atendentes.","","2026-05-11","passed","2026-05-11","","Navegação e URLs","",""
"","31935","Deve alternar entre DIA, SEMANA e MÊS várias vezes sem quebrar.","","2026-05-11","passed","2026-05-11","","Agenda Crítica - Stress de navegação","",""
"","21604","Deve alternar DIA, SEMANA e MÊS sem quebra visual em desktop.","Agenda Crítica - Quebra visual","2026-05-11","passed","2026-05-11","","Desktop 1366x768","",""
